timestamp,Bobcat_education_Dylan,Bobcat_education_Alissa,Bobcat_education_Coleman,Bobcat_other_Timothy,Bobcat_office_Justine
2016-01-01 00:00:00,0.0,196.6066,0.37,0.02,
2016-01-01 01:00:00,0.0,131.08,0.39,0.01,
2016-01-01 02:00:00,0.0,131.0733,0.39,0.02,
2016-01-01 03:00:00,0.0,196.6166,0.38,0.02,
2016-01-01 04:00:00,0.0,131.07,0.39,0.0,
2016-01-01 05:00:00,0.0,131.07,0.38,0.02,
2016-01-01 06:00:00,0.0,131.0674,0.39,0.01,
2016-01-01 07:00:00,0.0,65.54,0.39,0.02,
2016-01-01 08:00:00,0.0,65.5298,0.67,0.02,
2016-01-01 09:00:00,0.0,131.08,4.9,0.0,
2016-01-01 10:00:00,0.0,65.53,10.22,0.0,
2016-01-01 11:00:00,0.0,65.5431,14.32,0.06,
2016-01-01 12:00:00,0.0,131.0703,16.0,0.05,
2016-01-01 13:00:00,0.0,65.5402,,0.05,
2016-01-01 14:00:00,0.0,131.0674,15.84,0.03,
2016-01-01 15:00:00,0.0,131.0766,10.52,0.01,
2016-01-01 16:00:00,0.0,131.067,3.92,0.0,
2016-01-01 17:00:00,0.0,65.54,0.34,0.01,
2016-01-01 18:00:00,0.0,131.077,0.37,0.01,
2016-01-01 19:00:00,0.0,131.0674,0.38,0.02,
2016-01-01 20:00:00,0.0,131.0685,0.39,0.01,
2016-01-01 21:00:00,0.0,131.0813,0.39,0.02,
2016-01-01 22:00:00,0.0,65.5333,0.39,0.02,
2016-01-01 23:00:00,0.0,131.07,0.38,0.0,
2016-01-02 00:00:00,0.0,131.0825,0.39,0.02,
2016-01-02 01:00:00,0.0,65.5298,0.38,0.01,
2016-01-02 02:00:00,0.0,131.0718,0.38,0.02,
2016-01-02 03:00:00,0.0,65.54,0.39,0.02,
2016-01-02 04:00:00,0.0,131.067,0.38,0.01,
2016-01-02 05:00:00,0.0,65.54,0.39,0.01,
2016-01-02 06:00:00,0.0,65.5302,0.38,0.02,
2016-01-02 07:00:00,0.0,65.5425,0.37,0.01,
2016-01-02 08:00:00,0.0,131.0731,0.73,0.02,
2016-01-02 09:00:00,0.0,0.0,5.58,0.0,
2016-01-02 10:00:00,0.0,65.54,10.76,0.01,
2016-01-02 11:00:00,0.0,0.0,11.7,0.07,
2016-01-02 12:00:00,0.0,65.5302,6.88,0.01,
2016-01-02 13:00:00,0.0,65.54,15.02,0.04,
2016-01-02 14:00:00,0.0,65.5398,11.58,0.01,
2016-01-02 15:00:00,0.0,131.0678,4.17,0.0,
2016-01-02 16:00:00,0.0,65.53,0.97,0.0,
2016-01-02 17:00:00,0.0,131.08,0.29,0.03,
2016-01-02 18:00:00,0.0,131.0733,0.39,0.01,
2016-01-02 19:00:00,0.0,131.07,0.37,0.0,
2016-01-02 20:00:00,0.0,131.067,0.38,0.03,
2016-01-02 21:00:00,0.0,196.6172,0.39,0.01,
2016-01-02 22:00:00,0.0,196.61,0.39,0.02,
2016-01-02 23:00:00,0.0,131.0698,0.38,0.01,
2016-01-03 00:00:00,0.0,196.61,0.39,0.01,
2016-01-03 01:00:00,0.0,196.6131,0.37,0.02,
2016-01-03 02:00:00,0.0,131.0733,0.4,0.01,
2016-01-03 03:00:00,0.0,131.0757,0.38,0.01,
2016-01-03 04:00:00,0.0,131.0698,0.37,0.02,
2016-01-03 05:00:00,0.0,131.0696,0.38,0.02,
2016-01-03 06:00:00,0.0,131.0781,0.39,0.01,
2016-01-03 07:00:00,0.0,65.5296,0.38,0.01,
2016-01-03 08:00:00,0.0,131.0735,0.24,0.01,
2016-01-03 09:00:00,0.0,65.5374,1.65,0.02,
2016-01-03 10:00:00,0.0,131.07,8.75,0.0,
2016-01-03 11:00:00,0.0,65.5425,14.0,0.07,
2016-01-03 12:00:00,0.0,65.53,11.37,0.07,
2016-01-03 13:00:00,0.0,131.08,6.72,0.04,
2016-01-03 14:00:00,0.0,65.53,4.11,0.0,
2016-01-03 15:00:00,0.0,131.0725,2.23,0.0,
2016-01-03 16:00:00,0.0,65.54,0.45,0.0,
2016-01-03 17:00:00,0.0,131.07,0.29,0.03,
