timestamp,sum_conso,mean_conso,min_conso,max_conso,first_conso,last_conso,median_conso,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,month,day_of_week
2006-12-16,34.922,0.08818686868686867,0.0,0.528,0.418,0.07,0.07,93552.53,5180.8,0.0,546.0,4926.0,12,5
2006-12-17,226.006,0.1569486111111111,0.0,0.582,0.152,0.12,0.128,345725.32,14398.6,2033.0,4187.0,13341.0,12,6
2006-12-18,161.792,0.11235555555555556,0.0,0.646,0.126,0.248,0.092,347373.64,9247.2,1063.0,2621.0,14018.0,12,0
2006-12-19,150.942,0.10482083333333334,0.0,0.606,0.242,0.052,0.106,348479.01,7094.0,839.0,7602.0,6197.0,12,1
2006-12-20,160.998,0.11180416666666666,0.0,0.482,0.058,0.22,0.11,348923.61,9313.0,0.0,2648.0,14063.0,12,2
2006-12-21,144.166,0.10025452016689847,0.0,0.688,0.148,0.0,0.088,346616.31,7238.6,1765.0,2623.0,10421.0,12,3
2006-12-22,186.906,0.12979583333333333,0.0,0.622,0.0,0.094,0.11,347305.75,9897.0,3151.0,350.0,11131.0,12,4
2006-12-23,221.47,0.15379861111111112,0.0,0.724,0.0,0.046,0.094,345795.95,20200.4,2669.0,425.0,14726.0,12,5
2006-12-24,149.9,0.10409722222222223,0.0,0.494,0.046,0.262,0.1,348029.91,11002.2,1703.0,5082.0,6891.0,12,6
2006-12-25,240.28,0.1668611111111111,0.0,0.794,0.26,0.088,0.144,350495.9,11450.2,6620.0,1962.0,5795.0,12,0
2006-12-26,165.102,0.11465416666666667,0.0,0.8,0.102,0.162,0.104,347940.63,16341.0,1086.0,2533.0,14979.0,12,1
2006-12-27,178.902,0.12423749999999999,0.0,0.438,0.162,0.058,0.132,351025.0,6505.2,0.0,314.0,6976.0,12,2
2006-12-28,208.876,0.14505277777777778,0.0,0.694,0.054,0.172,0.148,350306.4,8764.2,2207.0,4419.0,9176.0,12,3
2006-12-29,196.394,0.13638472222222223,0.0,0.564,0.186,0.0,0.144,346854.68,13350.8,1252.0,5162.0,11329.0,12,4
2006-12-30,311.928,0.21691794158553546,0.0,0.754,0.0,0.0,0.188,345897.51,11924.2,3072.0,7891.0,12480.0,12,5
2006-12-31,150.852,0.10475833333333334,0.0,0.414,0.0,0.236,0.106,345451.07,14687.4,0.0,347.0,6502.0,12,6
2007-01-01,148.166,0.10289305555555556,0.0,0.454,0.136,0.15,0.114,345785.73,11400.4,0.0,352.0,5880.0,1,0
2007-01-02,190.342,0.13218194444444445,0.0,0.862,0.122,0.062,0.132,348399.04,5348.2,0.0,348.0,6562.0,1,1
2007-01-03,196.728,0.13661666666666666,0.0,0.46,0.058,0.0,0.144,350722.21,4340.2,0.0,344.0,4765.0,1,2
2007-01-04,202.302,0.1404875,0.0,0.724,0.046,0.186,0.138,345240.43,13648.6,1051.0,7597.0,10896.0,1,3
2007-01-05,173.154,0.12024583333333333,0.0,0.554,0.182,0.13,0.134,346313.9,11354.6,1483.0,379.0,7602.0,1,4
2007-01-06,192.188,0.13346388888888888,0.0,0.638,0.132,0.282,0.136,345129.2,6543.2,1336.0,402.0,5678.0,1,5
2007-01-07,246.074,0.17088472222222223,0.0,0.622,0.28,0.132,0.172,346899.58,10487.0,1987.0,8177.0,12810.0,1,6
2007-01-08,207.568,0.14414444444444446,0.0,0.716,0.138,0.158,0.134,344990.81,9434.4,0.0,467.0,17547.0,1,0
2007-01-09,207.248,0.14392222222222223,0.0,0.778,0.154,0.294,0.134,346302.03,7950.4,1688.0,4267.0,9790.0,1,1
2007-01-10,228.452,0.15864722222222222,0.0,0.596,0.302,0.32,0.152,347079.53,9155.2,771.0,4456.0,11012.0,1,2
2007-01-11,230.02,0.1597361111111111,0.0,0.704,0.324,0.126,0.158,347264.19,9588.0,1378.0,2170.0,12415.0,1,3
2007-01-12,199.14,0.13829166666666665,0.0,0.518,0.138,0.0,0.144,347815.02,6205.2,0.0,439.0,8276.0,1,4
2007-01-13,290.736,0.2019,0.0,0.834,0.0,0.112,0.176,344568.4,13612.4,7806.0,2975.0,11341.0,1,5
2007-01-14,227.12,0.1578318276580959,0.0,0.76,0.062,0.0,0.136,343664.64,12905.4,1777.0,4215.0,12975.0,1,6
2007-01-15,174.86,0.12143055555555557,0.0,0.582,0.104,0.152,0.118,347386.91,9016.6,1099.0,2239.0,15163.0,1,0
2007-01-16,185.428,0.12876944444444444,0.0,0.842,0.164,0.112,0.124,348400.45,7165.4,2063.0,644.0,6583.0,1,1
2007-01-17,200.752,0.13941111111111112,0.0,0.822,0.114,0.104,0.128,347047.56,11928.8,3500.0,5737.0,16064.0,1,2
2007-01-18,177.712,0.12341111111111111,0.0,0.616,0.104,0.0,0.122,346886.78,7693.2,0.0,336.0,13491.0,1,3
2007-01-19,170.052,0.11809166666666666,0.0,0.528,0.0,0.0,0.12,345831.76,6301.8,2103.0,330.0,7172.0,1,4
2007-01-20,238.362,0.16552916666666667,0.0,0.678,0.0,0.0,0.138,343969.16,13461.2,4324.0,5222.0,11440.0,1,5
2007-01-21,229.736,0.15953888888888887,0.0,0.638,0.064,0.0,0.132,344114.09,14674.6,10346.0,5567.0,11599.0,1,6
2007-01-22,168.642,0.1171125,0.0,0.582,0.0,0.08,0.116,347908.51,9151.6,1054.0,2983.0,11361.0,1,0
2007-01-23,138.28,0.09602777777777778,0.0,0.558,0.08,0.164,0.102,349578.08,7575.6,0.0,1064.0,5061.0,1,1
2007-01-24,178.06,0.12365277777777778,0.0,0.596,0.21,0.128,0.112,347699.08,12576.4,3464.0,2480.0,11744.0,1,2
2007-01-25,144.16,0.10011111111111111,0.0,0.596,0.128,0.13,0.108,350531.08,6666.2,1158.0,262.0,11239.0,1,3
2007-01-26,142.902,0.09923749999999999,0.0,0.648,0.128,0.0,0.104,349591.38,6798.8,1163.0,261.0,8238.0,1,4
2007-01-27,148.242,0.10294583333333332,0.0,0.592,0.0,0.094,0.092,347927.86,8567.8,1170.0,3896.0,12374.0,1,5
