sum_conso,mean_conso,min_conso,max_conso,first_conso,last_conso,median_conso,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,month,day_of_week
34.922,0.0881868686868686,0.0,0.528,0.418,0.07,0.07,93552.53,5180.8,0.0,546.0,4926.0,12,5
226.006,0.1569486111111111,0.0,0.582,0.152,0.12,0.128,345725.32,14398.6,2033.0,4187.0,13341.0,12,6
161.792,0.1123555555555555,0.0,0.646,0.126,0.248,0.092,347373.64,9247.2,1063.0,2621.0,14018.0,12,0
150.942,0.1048208333333333,0.0,0.606,0.242,0.052,0.106,348479.01,7094.0,839.0,7602.0,6197.0,12,1
160.998,0.1118041666666666,0.0,0.482,0.058,0.22,0.11,348923.61,9313.0,0.0,2648.0,14063.0,12,2
144.166,0.1002545201668984,0.0,0.688,0.148,0.0,0.088,346616.31,7238.6,1765.0,2623.0,10421.0,12,3
186.906,0.1297958333333333,0.0,0.622,0.0,0.094,0.11,347305.75,9897.0,3151.0,350.0,11131.0,12,4
221.47,0.1537986111111111,0.0,0.724,0.0,0.046,0.094,345795.95,20200.4,2669.0,425.0,14726.0,12,5
149.9,0.1040972222222222,0.0,0.494,0.046,0.262,0.1,348029.91,11002.2,1703.0,5082.0,6891.0,12,6
240.28,0.1668611111111111,0.0,0.794,0.26,0.088,0.144,350495.9,11450.2,6620.0,1962.0,5795.0,12,0
165.102,0.1146541666666666,0.0,0.8,0.102,0.162,0.104,347940.63,16341.0,1086.0,2533.0,14979.0,12,1
178.902,0.1242374999999999,0.0,0.438,0.162,0.058,0.132,351025.0,6505.2,0.0,314.0,6976.0,12,2
208.876,0.1450527777777777,0.0,0.694,0.054,0.172,0.148,350306.4,8764.2,2207.0,4419.0,9176.0,12,3
196.394,0.1363847222222222,0.0,0.564,0.186,0.0,0.144,346854.68,13350.8,1252.0,5162.0,11329.0,12,4
311.928,0.2169179415855354,0.0,0.754,0.0,0.0,0.188,345897.51,11924.2,3072.0,7891.0,12480.0,12,5
150.852,0.1047583333333333,0.0,0.414,0.0,0.236,0.106,345451.07,14687.4,0.0,347.0,6502.0,12,6
148.166,0.1028930555555555,0.0,0.454,0.136,0.15,0.114,345785.73,11400.4,0.0,352.0,5880.0,1,0
190.342,0.1321819444444444,0.0,0.862,0.122,0.062,0.132,348399.04,5348.2,0.0,348.0,6562.0,1,1
196.728,0.1366166666666666,0.0,0.46,0.058,0.0,0.144,350722.21,4340.2,0.0,344.0,4765.0,1,2
202.302,0.1404875,0.0,0.724,0.046,0.186,0.138,345240.43,13648.6,1051.0,7597.0,10896.0,1,3
173.154,0.1202458333333333,0.0,0.554,0.182,0.13,0.134,346313.9,11354.6,1483.0,379.0,7602.0,1,4
192.188,0.1334638888888888,0.0,0.638,0.132,0.282,0.136,345129.2,6543.2,1336.0,402.0,5678.0,1,5
246.074,0.1708847222222222,0.0,0.622,0.28,0.132,0.172,346899.58,10487.0,1987.0,8177.0,12810.0,1,6
207.568,0.1441444444444444,0.0,0.716,0.138,0.158,0.134,344990.81,9434.4,0.0,467.0,17547.0,1,0
207.248,0.1439222222222222,0.0,0.778,0.154,0.294,0.134,346302.03,7950.4,1688.0,4267.0,9790.0,1,1
228.452,0.1586472222222222,0.0,0.596,0.302,0.32,0.152,347079.53,9155.2,771.0,4456.0,11012.0,1,2
230.02,0.1597361111111111,0.0,0.704,0.324,0.126,0.158,347264.19,9588.0,1378.0,2170.0,12415.0,1,3
199.14,0.1382916666666666,0.0,0.518,0.138,0.0,0.144,347815.02,6205.2,0.0,439.0,8276.0,1,4
290.736,0.2019,0.0,0.834,0.0,0.112,0.176,344568.4,13612.4,7806.0,2975.0,11341.0,1,5
227.12,0.1578318276580959,0.0,0.76,0.062,0.0,0.136,343664.64,12905.4,1777.0,4215.0,12975.0,1,6
174.86,0.1214305555555555,0.0,0.582,0.104,0.152,0.118,347386.91,9016.6,1099.0,2239.0,15163.0,1,0
