sum_conso,mean_conso,min_conso,max_conso,first_conso,last_conso,median_conso,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed,month,day_of_week
1067.2542,44.46892499999999,42.2675,47.551,44.9092,42.2675,44.9092,5.716666666666666,6.625,3.2083333333333335,,0.5,1007.625,140.0,8.875,1,4
10614.4309,461.4969956521739,322.2898,742.3233,322.2898,346.0653,401.5414,8.433333333333334,7.583333333333333,7.4375,,27.5,996.5958333333332,175.0,5.208333333333333,1,5
8765.2272,365.2177999999999,322.2898,449.0924,332.8567,338.1402,355.31135,7.0125,5.3478260869565215,4.979166666666667,,31.5,982.8347826086956,151.66666666666666,5.504166666666666,1,6
11356.7542,473.19809166666664,425.3169,573.2532,425.3169,427.9586,447.7715500000001,5.270833333333333,5.458333333333333,4.2625,,,975.8791666666666,211.25,1.75,1,0
9267.1534,386.1313916666666,372.4825,420.0335,375.1242,380.4077,381.72855,6.108333333333333,7.458333333333333,5.6125,,60.0,983.9416666666666,298.75,5.041666666666667,1,1
9074.308,378.0961666666667,356.6322,425.3169,356.6322,356.6322,373.80335,5.970833333333334,7.208333333333333,4.454166666666667,,-1.0,991.1791666666668,205.41666666666663,6.291666666666667,1,2
9533.9673,397.2486375,372.4825,457.0176,375.1242,377.766,381.72855,4.875,4.5,1.9041666666666668,,34.5,986.9,233.33333333333337,8.933333333333334,1,3
9597.3687,399.8903625,393.6163,417.3918,398.8997,393.6163,398.8997,3.8375,6.041666666666667,1.9208333333333336,,3.5,992.2833333333332,197.91666666666663,3.25,1,4
2081.6753,86.73647083333333,44.9092,140.0112,81.8933,44.9092,81.8933,3.4916666666666667,6.375,2.6166666666666667,,14.5,982.4166666666666,131.66666666666666,3.4583333333333335,1,5
1442.3792,60.099133333333334,50.1927,76.6099,55.4761,55.4761,56.79695,3.4583333333333335,4.791666666666667,1.4958333333333331,,200.0,978.0541666666668,229.58333333333337,7.208333333333333,1,6
4926.8076,205.28365,52.8344,684.2055,66.043,60.7596,133.40685,3.1999999999999997,4.625,1.6875,,-0.5,982.975,247.08333333333337,5.291666666666667,1,0
7005.8415,291.91006250000004,166.4284,486.0765,179.637,240.3965,269.45545000000004,3.3625000000000003,4.0,0.7833333333333333,,1.0,1002.6375,276.25,9.875,1,1
10902.3785,454.26577083333336,322.2898,634.0128,332.8567,433.2421,460.98015,2.3333333333333335,5.625,0.3791666666666666,,0.0,1009.1916666666666,230.83333333333337,5.791666666666667,1,2
12482.127,520.088625,422.6752,718.5478,427.9586,443.809,483.43475,1.0625,4.791666666666667,-0.2916666666666667,,3.0,1012.8166666666666,279.5833333333333,6.083333333333333,1,3
11377.888,474.0786666666667,351.3488,641.938,427.9586,351.3488,427.9586,1.0708333333333333,1.9166666666666667,-0.6416666666666667,,0.5,1025.5041666666666,266.25,6.791666666666667,1,4
8144.4229,339.35095416666667,319.6481,356.6322,351.3488,338.1402,339.46105,2.75,5.5,1.3625,,0.0,1028.7125,242.5,4.708333333333333,1,5
8205.1823,341.88259583333337,327.5733,356.6322,338.1402,348.707,342.10275,5.454166666666667,7.208333333333333,4.625,,1.0,1019.275,165.83333333333334,4.916666666666667,1,6
10138.9212,422.45505,335.4984,575.895,346.0653,338.1402,397.57885,6.283333333333334,7.333333333333333,4.7625,,20.0,1010.7458333333334,134.16666666666666,5.25,1,0
9917.017,413.2090416666667,327.5733,560.0446,332.8567,338.1402,375.12425,3.920833333333333,5.875,3.329166666666667,,-1.0,1015.7416666666668,176.25,2.0416666666666665,1,1
9843.0486,410.127025,319.6481,575.895,338.1402,359.2739,359.2739,3.7416666666666663,3.3333333333333335,0.3875,,0.0,1016.8875,142.5,5.416666666666667,1,2
